20240908	12:23:36	a72ed8cb-47b8-4849-956a-22adc2219750	/	GET
20240908	12:23:36	07fcbefa-2ddb-48dd-881d-9c5e6ca2f369	/css/style.css	GET
20240908	12:23:36	560a659e-03e3-4946-a5c5-a646fb858f9b	/favicon.ico	GET
20240908	12:23:37	843322a1-4a26-4cf4-85cf-1fc1505e5d9f	/	GET
20240908	12:23:37	522098d0-7d4b-462e-a5b7-4f2c58c9b5e7	/css/style.css	GET
20240908	12:24:09	4a46ec4c-0eb0-437a-86f1-633961e86ec0	/new-page.html	GET
20240908	12:24:09	864433c5-3f94-4c49-ae35-d9139278e92f	/css/style.css	GET
20240908	12:24:09	048b8c9c-48b2-4dec-9d69-5ada205006fc	/img/img1.jpg	GET
20240908	12:24:12	3a565f33-8e07-4e20-9060-aa17880d24d8	/new-page.html	GET
20240908	12:24:12	992ce77f-fc37-4a19-8b89-b8c59f94a47b	/css/style.css	GET
20240908	12:24:12	e5b68da5-b8eb-4322-b707-2362be9844c8	/img/img1.jpg	GET
20240908	12:24:13	643e4be4-30b3-4076-a1ad-07da67f0bdbb	/new-page.html	GET
20240908	12:24:13	1665a51e-6256-43ed-b6d2-6e5e588a0829	/css/style.css	GET
20240908	12:24:13	3fb665ee-9e43-4d55-aa24-55dbaf6f09ea	/img/img1.jpg	GET
20240908	12:24:13	6f24f124-8572-40bf-8aed-484ee500827f	/new-page.html	GET
20240908	12:24:13	257641b4-47bd-4b58-a095-29f24706b146	/css/style.css	GET
20240908	12:24:13	74419f86-f0c6-4e07-899e-393f91757a7b	/img/img1.jpg	GET
20240908	12:24:13	aa99fbaa-8769-4120-a307-9fee21f518da	/new-page.html	GET
20240908	12:24:13	d04695ed-5ae0-4987-ae72-47d309eeaeb4	/css/style.css	GET
20240908	12:24:13	a58ad362-5c22-4b97-958c-f3779b220a1c	/img/img1.jpg	GET
20240908	12:25:08	68af6121-d25b-40c7-9570-9fa9e1229cc0	/css/style.css	GET
20240908	12:26:02	d9ad38a2-39d5-4257-b67b-53d7d9ed9563	/new-page.html	GET
20240908	12:26:03	5d161529-2e9a-492d-8a48-ed4ebc5af3e8	/css/style.css	GET
20240908	12:26:03	3f0e9ac5-faa8-4394-9581-c544f2e4f797	/img/img1.jpg	GET
20240909	10:00:21	1cbbe029-2e65-45c8-9634-069c190c97fb	GET	undefined	/
20240909	10:00:21	c643f2aa-29c0-4a8b-be1c-f2df5921da63	GET	undefined	/css/style.css
20240909	10:03:42	546238e2-c297-4f7d-98eb-d3007a7c321e	GET	undefined	/
20240909	10:03:42	7748aaca-d072-4508-8ac3-7c965f6874da	GET	undefined	/css/style.css
20240909	10:06:04	431d51ea-2c40-411e-93e0-b8068aade992	OPTIONS	https://www.google.com	/
20240909	10:06:04	e8465d89-c656-454b-888c-c2d78fc13871	GET	https://www.google.com	/
20240909	10:11:06	13bbca04-dfcb-463f-9e4b-e2017e79a2ba	OPTIONS	https://www.google.com	/
20240909	10:11:06	fd037f1b-6c52-49be-8923-24e22c99a488	GET	https://www.google.com	/
20240909	12:13:58	ea4fba93-f8fd-4daf-8d98-ce3043143827	OPTIONS	https://www.google.com	/
20240909	12:13:58	d88cef0e-3c8c-46c4-974a-a570b0a24612	GET	https://www.google.com	/
20240909	12:15:24	a02b47a0-8836-4e39-82b9-ba4eef16c700	GET	undefined	/
20240909	12:15:24	664a65e8-d1df-4ba4-a60a-411c2b0d7987	GET	undefined	/css/style.css
20240909	12:15:25	228ad81b-182a-4311-8985-2903fd7bb6cb	GET	undefined	/
20240909	12:15:25	939e8520-20f4-4722-b1d6-1102605cb120	GET	undefined	/css/style.css
20240909	12:24:54	bff8eeb2-090f-4260-8254-b9d2718a9c31	GET	undefined	/
20240909	12:24:54	d4b0489f-15de-4667-8aec-e40c98326db9	GET	undefined	/css/style.css
20240909	12:24:55	e4ccea63-19d4-45ac-955f-9ecfa9a5ea71	GET	undefined	/
20240909	12:24:55	2a7b4525-3239-443d-8a36-6a342a2616c6	GET	undefined	/css/style.css
20240909	12:24:55	c04be588-d0ec-474e-bdb1-4d28def56897	GET	undefined	/
20240909	12:24:55	0eec3d6e-f3db-4cc7-a213-ac1f7beebdb3	GET	undefined	/css/style.css
20240909	12:24:55	afd4f6a4-825c-482b-a327-e525996fcfba	GET	undefined	/
20240909	12:24:55	60d1f7b8-3912-4136-88cc-091ac23028d8	GET	undefined	/css/style.css
20240909	12:24:55	28be96b0-18cc-40d8-a253-0b4575a47912	GET	undefined	/
